geneID	Coefficient of Variation	Louvain Cluster	Maximum Data Value	Mean Data Value	Minimum Data Value	Node Component Identifier	Node Degree	Node Multiplicity	Standard Deviation	Strongest Data Column	Variance
Dbi	0.1295238521761241	Cluster 5	6.36643265006186	4.732217233230183	3.46991591323406	Component 1	4	1	0.6129350053822132	241_d12_rp	0.37568932082289375
Actr3	0.03384825486410808	Cluster 3	9.92932195561014	9.09210637636738	8.40208538604562	Component 1	5	1	0.30775193387886524	298_L_rp	0.09471125280618144
Mgat5	0.08631300778993833	Cluster 2	8.07267206220306	6.889885494255495	5.507942422871	Component 1	6	1	0.5946867403374576	008_C_rn_neg	0.3536523191331908
Gm37510	0.3791974978480004	Cluster 2	4.55669951296148	2.6194899311178883	0.266657545873785	Component 1	1	1	0.9933040275179341	002_S_rn_neg	0.9866528910833487
Tmem163		Cluster 3	4.10772318224018	1.9581194164419482	-2.83125775501329	Component 1	4	1	1.7863662106536606	298_L_rp	3.191104238565119
Ccnt2	0.06225826720539321	Cluster 2	7.21959129168022	6.44699001664982	5.43224168617089	Component 1	4	1	0.4013784271270869	001_L_rn_pos	0.1611046417630142
Zranb3		Cluster 5	3.70084833421887	2.01009450982809	-2.34300115803899	Component 1	1	1	1.2999882787522812	4216_L_rp	1.6899695248933186
Ubxn4	0.04398832296859174	Cluster 1	7.85090137707096	7.125079961497822	6.50665077678142	Component 1	4	1	0.3134203185234074	4216_C_rp	0.09823229606331416
Mcm6	0.0834216616073047	Cluster 5	8.81361597466598	7.558074887081131	6.3843132056919	Component 1	9	1	0.6305071656327498	245_d12_rp	0.39753928591424376
Dars	0.07147571566191485	Cluster 6	6.88621882583074	6.020666159367151	4.8526202646571	Component 1	4	1	0.43033142250223944	241_d12_ra	0.1851851331928009
Cxcr4	0.2160571023262737	Cluster 1	8.13877110327941	5.614352880688691	3.58374322273302	Component 1	4	1	1.213020814838766	005_C_rn_neg	1.4714194972321037
Gm15675		Cluster 8	5.59262363157194	0.76157510780259	-2.68988724355052	Component 1	1	1	1.7530299443617168	001_L_rn_pos	3.0731139858288437
Il10		Cluster 3	8.60134578715361	4.321535871925863	-2.76677142862142	Component 1	5	1	2.5791528585262333	005_C_rn_neg	6.65202946764404
Mapkapk2	0.11201406967594818	Cluster 3	9.44080306369604	7.759176990828471	5.53299127937998	Component 1	19	1	0.8691369920786742	299_C_rp	0.7553991109995654
Gm37084	0.19980092671716948	Cluster 2	6.71857994476772	4.921907642451201	2.4551850610272	Component 1	4	1	0.9834017081780687	297_C_rp	0.9670789196475434
Dyrk3		Cluster 9	4.12880264264238	1.7605341412650444	-2.85309563559009	Component 1	5	1	1.7782063137034048	4214_L_rp	3.162017694094651
Slc41a1	0.12102855184673082	Cluster 2	6.65862406960851	5.680283277543474	3.98680826259728	Component 1	4	1	0.6874764591602884	008_C_rn_neg	0.47262388189956767
Nucks1	0.06851186771452734	Cluster 5	8.72766453060235	7.358243939218813	6.52334381356189	Component 1	4	1	0.5041270353749819	245_d12_rp	0.25414406779596826
Ppp1r15b	0.04796189005879902	Cluster 3	8.16511295247534	7.474996969083334	6.1893903050839	Component 1	6	1	0.3585149828210308	400_C_ra	0.128532992907164
Lax1	0.15432591153456796	Cluster 10	7.59339714416126	6.123368861292499	4.20384308915489	Component 1	6	1	0.9449944811813543	4183_S_ra	0.8930145694632171
Atp2b4	0.13507101042511577	Cluster 3	9.37054060481979	8.110259938996178	4.1716085958678	Component 1	17	1	1.0954610047705515	297_C_rp	1.2000348129729064
Gm37368		Cluster 3	5.03059204894017	2.404296403345174	-3.12386310092449	Component 1	4	1	1.451112816733369	008_C_rn_neg	2.105728406887852
Tmem183a	0.07076439643826907	Cluster 1	5.78242320674819	5.011693250305226	4.19172023995592	Component 1	4	1	0.35464944799159626	4216_C_rp	0.12577623096074395
Adipor1	0.06466757166832224	Cluster 3	7.66012391742156	6.7932921355431475	5.67209980650376	Component 1	5	1	0.4393057060390863	346_C_ra	0.1929895033585001
Ptprv	0.1970015066485973	Cluster 3	6.0679899092018	4.36933214160601	2.5817035196622	Component 1	1	1	0.8607650149445262	4181_S_ra	0.7409164109524503
Ptpn7	0.09505400536112607	Cluster 7	8.40438892259083	7.405965412293815	5.69277871780532	Component 1	10	1	0.7039666760044906	347_L_rp	0.49556908092481144
Ipo9	0.04779128870226917	Cluster 5	6.94367707184394	6.225871437367886	5.31353670355666	Component 1	1	1	0.29754241928646014	245_d12_rp	0.08853149127483965
Gm37333		Cluster 6	1.42412334673665	-2.2008190984720373	-2.94525209435097	Component 1	1	1	1.05911918811259	293_C_ra	1.1217334546282722
Csrp1	0.09965947555273424	Cluster 3	7.34129526700677	6.311219665268781	4.69873856993778	Component 1	7	1	0.6289728419387897	400_C_ra	0.3956068358965577
Kif21b	0.052305156651127005	Cluster 10	10.3916997507114	9.43417471196482	8.13657567650218	Component 1	2	1	0.4934559861834209	010_L_rn_pos	0.2434988103002525
Kif14		Cluster 5	6.73659736638112	3.529212093945231	-2.4437647360443	Component 1	11	1	2.1386578008161647	347_L_rp	4.573857188991835
Gm33994		Cluster 8	2.75109512561057	-1.5006247272062379	-3.0585112240573	Component 1	1	1	1.5110011655339104	400_C_ra	2.2831245222448358
Aspm	0.31231404285822	Cluster 5	7.7403405176476	5.254312216546125	1.75673286444638	Component 1	7	1	1.6409954907888553	297_L_rp	2.692866200789356
Cdc73	0.043152514464676835	Cluster 2	7.0894835489266	6.450856191891491	5.74263687055018	Component 1	3	1	0.2783706651301477	002_S_rn_pos	0.07749022720500083
Rgs2	0.26749532929320785	Cluster 2	9.51664244897323	6.706294260226559	1.4531053454259	Component 1	12	1	1.7939023914764531	4216_C_rp	3.2180857901449373
